date,day_of_week,instrument,expiry_week,entry_time,exit_time,entry_price,exit_price,direction,move_pts,pnl_pts,pnl_inr_1lot,result,score,signal_count,sig_oi_quadrant,sig_futures_basis,sig_pcr,sig_oi_velocity,sig_strike_defense,sig_fii_signature,pcr_value,spot_price,call_wall,put_wall,dte,regime_5d_ret_pct,extreme_regime,has_live_oi,fii_fut_level,fii_cash_lag1,notes
2026-01-19,Monday,NIFTY-FUT-NSE,False,2026-01-19 09:15:00,2026-01-19 15:29:00,25626.1,25574.0,NO_TRADE,-52.1,,,,-0.2009,5,1,-1,1,0,-1,-1,0.759,25694.35,26000,25000,1,0.04,False,True,-1,-1,"long_buildup p=+2 oi=+434 | backwardation fut=25626 spot=25694 basis=-0.29% | bullish_pcr pcr=0.76 ma=0.78 | velocity_short_suppressed_backwardation basis=-0.27% atm_net_vel=-427.5 ce=1818.4 pe=1391.0 | upper_range_bearish ltp=25626 call=26000 put=25000 pos=0.63 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-511.9]"
2026-01-20,Tuesday,NIFTY-FUT-NSE,True,2026-01-20 09:15:00,2026-01-20 15:29:00,25599.0,25268.0,NO_TRADE,-331.0,,,,-0.1519,5,1,0,1,-1,1,-1,0.767,25585.5,26000,25500,1,-0.79,False,True,-1,-1,"short_cover p=+33 oi=-109 | neutral fut=25599 spot=25586 basis=+0.03% | bullish_pcr pcr=0.77 ma=0.80 | call_writing_dominant atm_net_vel=-1163.7 ce=2583.0 pe=1419.3 | lower_range_bullish ltp=25599 call=26000 put=25500 pos=0.20 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-1415.2]"
2026-01-21,Wednesday,NIFTY-FUT-NSE,False,2026-01-21 09:15:00,2026-01-21 15:29:00,25237.0,25190.0,NO_TRADE,-47.0,,,,-0.23,6,1,-1,1,-1,1,-1,0.651,25232.5,26000,25000,6,-1.94,False,True,-1,-1,"short_cover p=+25 oi=-25 | backwardation fut=25237 spot=25232 basis=-0.11% | extreme_calls_bullish pcr=0.65 ma=0.76 | call_writing_dominant atm_net_vel=-16.6 ce=1016.3 pe=999.7 | lower_range_bullish ltp=25237 call=26000 put=25000 pos=0.24 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=171.1]"
2026-01-22,Thursday,NIFTY-FUT-NSE,False,2026-01-22 09:15:00,2026-01-22 15:29:00,25319.9,25375.0,LONG,55.1,55.1,1377.5,WIN,0.3462,6,-1,1,1,1,1,-1,0.783,25157.5,26000,25000,5,-1.98,False,True,-1,-1,"short_buildup p=-3 oi=+428 | contango fut=25320 spot=25158 basis=+0.54% | bullish_pcr pcr=0.78 ma=0.75 | put_writing_dominant atm_net_vel=165.2 ce=1019.3 pe=1184.6 | lower_range_bullish ltp=25320 call=26000 put=25000 pos=0.32 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=67.9]"
2026-01-23,Friday,NIFTY-FUT-NSE,False,2026-01-23 09:15:00,2026-01-23 15:29:00,25370.0,25080.0,NO_TRADE,-290.0,,,,-0.189,6,-1,1,1,-1,1,-1,0.875,25289.9,26000,25000,4,-1.57,False,True,-1,-1,"short_buildup p=-4 oi=+51 | contango fut=25370 spot=25290 basis=+0.23% | bullish_pcr pcr=0.87 ma=0.77 | call_writing_dominant atm_net_vel=-179.4 ce=1509.4 pe=1330.0 | lower_range_bullish ltp=25370 call=26000 put=25000 pos=0.37 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-287.7]"
2026-01-27,Tuesday,NIFTY-FUT-NSE,True,2026-01-27 09:15:00,2026-01-27 15:29:00,25116.3,25173.9,NO_TRADE,57.6,,,,-0.2121,6,-1,1,1,-1,1,-1,0.701,25048.65,26000,25000,1,-2.1,False,True,-1,-1,"long_unwind p=-1 oi=-275 | contango fut=25116 spot=25049 basis=+0.25% | bullish_pcr pcr=0.70 ma=0.76 | call_writing_dominant atm_net_vel=-372.8 ce=1972.0 pe=1599.3 | near_put_wall ltp=25116 call=26000 put=25000 pos=0.12 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-415.9]"
2026-01-28,Wednesday,NIFTY-FUT-NSE,False,2026-01-28 09:15:00,2026-01-28 15:29:00,25437.2,25456.0,NO_TRADE,18.8,,,,-0.09,3,-1,1,0,0,0,-1,0.936,25175.4,26000,25000,6,-0.23,False,False,-1,-1,"short_buildup p=-2 oi=+195 | contango fut=25437 spot=25175 basis=+0.91% | neutral_pcr pcr=0.94 ma=0.79 | no velocity data | mid_range ltp=25437 call=26000 put=25000 pos=0.44 | FII_SHORT [fut_level=SHORT, cash=SELL]"
2026-01-29,Thursday,NIFTY-FUT-NSE,False,2026-01-29 09:15:00,2026-01-29 15:29:00,25396.2,25539.0,LONG,142.8,142.8,3570.0,WIN,0.4873,2,1,0,0,0,1,0,0.971,25342.75,26000,25000,5,0.74,False,False,-1,1,"long_buildup p=+8 oi=+252 | neutral fut=25396 spot=25343 basis=+0.10% | neutral_pcr pcr=0.97 ma=0.85 | no velocity data | lower_range_bullish ltp=25396 call=26000 put=25000 pos=0.40 | FII_mixed [fut_level=SHORT, cash=BUY]"
2026-01-30,Friday,NIFTY-FUT-NSE,False,2026-01-30 09:15:00,2026-01-30 15:29:00,25410.0,25425.0,NO_TRADE,15.0,,,,0.0116,2,1,-1,0,0,0,0,1.057,25418.9,26000,25000,4,0.51,False,False,-1,0,long_buildup p=+14 oi=+43 | backwardation fut=25410 spot=25419 basis=-0.12% | neutral_pcr pcr=1.06 ma=0.91 | no velocity data | mid_range ltp=25410 call=26000 put=25000 pos=0.41 | FII_mixed [fut_level=SHORT]
2026-02-02,Monday,NIFTY-FUT-NSE,False,2026-02-02 09:15:00,2026-02-02 15:29:00,24806.4,25149.6,NO_TRADE,343.2,,,,0.0163,3,1,-1,1,0,0,0,0.9,25320.65,26000,24000,1,1.09,False,False,-1,0,long_buildup p=+0 oi=+323 | backwardation fut=24806 spot=25321 basis=-2.05% | bullish_pcr pcr=0.90 ma=0.91 | no velocity data | mid_range ltp=24806 call=26000 put=24000 pos=0.40 | FII_mixed [fut_level=SHORT]
2026-02-03,Tuesday,NIFTY-FUT-NSE,True,2026-02-03 09:15:00,2026-02-03 15:29:00,26161.3,25823.1,NO_TRADE,-338.2,,,,0.2525,3,1,1,0,0,0,-1,0.982,25088.4,27000,25000,1,-0.35,False,False,-1,-1,"short_cover p=+17 oi=-422 | contango fut=26161 spot=25088 basis=+4.25% | neutral_pcr pcr=0.98 ma=0.97 | no velocity data | mid_range ltp=26161 call=27000 put=25000 pos=0.58 | FII_SHORT [fut_level=SHORT, cash=SELL]"
2026-02-04,Wednesday,NIFTY-FUT-NSE,False,2026-02-04 09:15:00,2026-02-04 15:29:00,25740.7,25830.0,LONG,89.3,89.3,2232.5,WIN,0.3123,4,-1,0,0,1,-1,1,0.959,25727.55,26000,25000,6,1.52,False,True,-1,1,"long_unwind p=-3 oi=-204 | neutral fut=25741 spot=25728 basis=-0.08% | neutral_pcr pcr=0.96 ma=0.97 | put_writing_dominant atm_net_vel=65.7 ce=203.5 pe=269.2 | upper_range_bearish ltp=25741 call=26000 put=25000 pos=0.74 | FII_LONG [fut_level=SHORT, cash=BUY, oi_velocity_convergence=100.8]"
2026-02-05,Thursday,NIFTY-FUT-NSE,False,2026-02-05 09:15:00,2026-02-05 15:29:00,25797.7,25720.0,SHORT,-77.7,77.7,1942.5,WIN,-0.4744,4,1,0,0,-1,-1,-1,1.07,25776.0,26000,25000,5,1.4,False,True,-1,1,"short_cover p=+1 oi=-26 | neutral fut=25798 spot=25776 basis=-0.03% | neutral_pcr pcr=1.07 ma=0.99 | call_writing_dominant atm_net_vel=-251.5 ce=401.4 pe=149.9 | upper_range_bearish ltp=25798 call=26000 put=25000 pos=0.80 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-286.1]"
2026-02-06,Friday,NIFTY-FUT-NSE,False,2026-02-06 09:15:00,2026-02-06 15:29:00,25657.3,25729.8,SHORT,72.5,-72.5,-1812.5,LOSS,-0.3291,5,-1,0,1,-1,1,-1,0.812,25642.8,27000,25000,4,1.27,False,True,-1,-1,"long_unwind p=-2 oi=-81 | neutral fut=25657 spot=25643 basis=-0.03% | bullish_pcr pcr=0.81 ma=0.94 | call_writing_dominant atm_net_vel=-482.5 ce=1412.3 pe=929.9 | lower_range_bullish ltp=25657 call=27000 put=25000 pos=0.33 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-500.8]"
2026-02-09,Monday,NIFTY-FUT-NSE,False,2026-02-09 09:15:00,2026-02-09 15:29:00,25906.7,25909.0,SHORT,2.3,-2.3,-57.5,LOSS,-0.3339,4,-1,1,0,-1,0,-1,0.965,25693.7,27000,25000,1,2.41,False,True,-1,1,"long_unwind p=-3 oi=-472 | contango fut=25907 spot=25694 basis=+0.81% | neutral_pcr pcr=0.96 ma=0.96 | call_writing_dominant atm_net_vel=-517.2 ce=1720.1 pe=1202.9 | mid_range ltp=25907 call=27000 put=25000 pos=0.45 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-698.5]"
2026-02-10,Tuesday,NIFTY-FUT-NSE,True,2026-02-10 09:15:00,2026-02-10 15:29:00,25963.0,25969.2,NO_TRADE,6.2,,,,0.2787,6,1,1,-1,1,-1,1,1.109,25867.3,26000,25000,1,0.54,False,True,-1,1,"long_buildup p=+1 oi=+27 | contango fut=25963 spot=25867 basis=+0.35% | bearish_pcr pcr=1.11 ma=0.98 | put_writing_dominant atm_net_vel=450.9 ce=1672.7 pe=2123.6 | near_call_wall ltp=25963 call=26000 put=25000 pos=0.96 | FII_LONG [fut_level=SHORT, cash=BUY, oi_velocity_convergence=447.0]"
2026-02-11,Wednesday,NIFTY-FUT-NSE,False,2026-02-11 09:15:00,2026-02-11 15:29:00,26041.5,25989.7,SHORT,-51.8,51.8,1295.0,WIN,-0.325,6,-1,1,-1,-1,1,-1,1.133,25935.15,27000,25900,6,0.62,False,True,-1,0,"long_unwind p=-2 oi=-42 | contango fut=26042 spot=25935 basis=+0.28% | bearish_pcr pcr=1.13 ma=1.02 | call_writing_dominant atm_net_vel=-188.8 ce=483.2 pe=294.4 | near_put_wall ltp=26042 call=27000 put=25900 pos=0.13 | FII_SHORT [fut_level=SHORT, oi_velocity_convergence=-206.5]"
2026-02-12,Thursday,NIFTY-FUT-NSE,False,2026-02-12 09:15:00,2026-02-12 15:29:00,25957.8,25849.1,SHORT,-108.7,108.7,2717.5,WIN,-0.7671,4,-1,0,0,-1,-1,-1,1.055,25953.85,26000,25000,5,1.21,False,True,-1,1,"short_buildup p=-4 oi=+840 | neutral fut=25958 spot=25954 basis=-0.09% | neutral_pcr pcr=1.06 ma=1.01 | call_writing_dominant atm_net_vel=-418.4 ce=1050.5 pe=632.2 | near_call_wall ltp=25958 call=26000 put=25000 pos=0.96 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-521.4]"
2026-02-13,Friday,NIFTY-FUT-NSE,False,2026-02-13 09:15:00,2026-02-13 15:29:00,25716.9,25481.0,SHORT,-235.9,235.9,5897.5,WIN,-0.351,5,-1,-1,1,0,-1,-1,0.816,25807.2,26000,25000,4,0.44,False,True,-1,1,"short_buildup p=-36 oi=+287 | backwardation fut=25717 spot=25807 basis=-0.44% | bullish_pcr pcr=0.82 ma=1.02 | velocity_short_suppressed_backwardation basis=-0.35% atm_net_vel=-785.3 ce=1573.7 pe=788.4 | upper_range_bearish ltp=25717 call=26000 put=25000 pos=0.72 | FII_SHORT [fut_level=SHORT, cash=BUY, institutional_sweep vol_ratio=3.0x move=1.7x, oi_velocity_convergence=-843.6]"
2026-02-16,Monday,NIFTY-FUT-NSE,False,2026-02-16 09:15:00,2026-02-16 15:29:00,25446.1,25728.0,NO_TRADE,281.9,,,,-0.1169,4,1,-1,1,0,0,-1,0.646,25471.1,26000,25000,1,-1.53,False,True,-1,-1,"short_cover p=+7 oi=-76 | backwardation fut=25446 spot=25471 basis=-0.12% | extreme_calls_bullish pcr=0.65 ma=0.95 | velocity_short_suppressed_backwardation basis=-0.10% atm_net_vel=-303.0 ce=1608.1 pe=1305.1 | mid_range ltp=25446 call=26000 put=25000 pos=0.45 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-363.4]"
2026-02-17,Tuesday,NIFTY-FUT-NSE,True,2026-02-17 09:15:00,2026-02-17 15:29:00,25642.7,25736.0,SHORT,93.3,-93.3,-2332.5,LOSS,-0.4749,5,-1,-1,-1,0,1,-1,1.107,25682.75,26000,25500,1,-0.97,False,True,-1,0,"short_buildup p=-3 oi=+774 | backwardation fut=25643 spot=25683 basis=-0.18% | bearish_pcr pcr=1.11 ma=0.95 | velocity_short_suppressed_backwardation basis=-0.16% atm_net_vel=-197.1 ce=1972.2 pe=1775.1 | lower_range_bullish ltp=25643 call=26000 put=25500 pos=0.29 | FII_SHORT [fut_level=SHORT, oi_velocity_convergence=-232.1]"
2026-02-18,Wednesday,NIFTY-FUT-NSE,False,2026-02-18 09:15:00,2026-02-18 15:29:00,25762.0,25827.0,NO_TRADE,65.0,,,,-0.2796,5,1,0,-1,-1,1,-1,1.11,25725.4,26000,25700,6,-0.88,False,True,-1,1,"long_buildup p=+4 oi=+700 | neutral fut=25762 spot=25725 basis=+0.01% | bearish_pcr pcr=1.11 ma=0.95 | call_writing_dominant atm_net_vel=-145.2 ce=880.9 pe=735.7 | lower_range_bullish ltp=25762 call=26000 put=25700 pos=0.21 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-196.1]"
2026-02-19,Thursday,NIFTY-FUT-NSE,False,2026-02-19 09:15:00,2026-02-19 15:29:00,25854.1,25410.0,SHORT,-444.1,444.1,11102.5,WIN,-0.7232,4,-1,0,-1,-1,0,-1,1.218,25819.35,27000,25000,5,0.05,False,True,-1,1,"short_buildup p=-6 oi=+594 | neutral fut=25854 spot=25819 basis=+0.03% | bearish_pcr pcr=1.22 ma=0.98 | call_writing_dominant atm_net_vel=-126.9 ce=1018.2 pe=891.3 | mid_range ltp=25854 call=27000 put=25000 pos=0.43 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-189.1]"
2026-02-20,Friday,NIFTY-FUT-NSE,False,2026-02-20 09:15:00,2026-02-20 15:29:00,25416.5,25584.7,NO_TRADE,168.2,,,,-0.2218,4,1,-1,1,0,0,-1,0.698,25454.35,26000,25000,4,-0.07,False,True,-1,1,"long_buildup p=+10 oi=+473 | backwardation fut=25416 spot=25454 basis=-0.24% | extreme_calls_bullish pcr=0.70 ma=0.96 | velocity_short_suppressed_backwardation basis=-0.15% atm_net_vel=-215.3 ce=1505.9 pe=1290.6 | mid_range ltp=25416 call=26000 put=25000 pos=0.42 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-400.3]"
2026-02-23,Monday,NIFTY-FUT-NSE,False,2026-02-23 09:15:00,2026-02-23 15:29:00,25679.1,25700.3,NO_TRADE,21.2,,,,-0.121,5,1,1,0,-1,1,-1,0.975,25571.25,27000,25000,1,-0.43,False,True,-1,0,"long_buildup p=+0 oi=+243 | contango fut=25679 spot=25571 basis=+0.40% | neutral_pcr pcr=0.98 ma=1.02 | call_writing_dominant atm_net_vel=-134.3 ce=1495.6 pe=1361.2 | lower_range_bullish ltp=25679 call=27000 put=25000 pos=0.34 | FII_SHORT [fut_level=SHORT, oi_velocity_convergence=-109.4]"
2026-02-24,Tuesday,NIFTY-FUT-NSE,True,2026-02-24 09:15:00,2026-02-24 15:29:00,25633.9,25423.4,SHORT,-210.5,210.5,5262.5,WIN,-0.5284,4,-1,-1,0,0,-1,-1,1.056,25713.0,26000,25000,1,-0.05,False,True,-1,1,"long_unwind p=-0 oi=-20 | backwardation fut=25634 spot=25713 basis=-0.33% | neutral_pcr pcr=1.06 ma=1.01 | velocity_short_suppressed_backwardation basis=-0.31% atm_net_vel=-754.4 ce=2197.8 pe=1443.4 | upper_range_bearish ltp=25634 call=26000 put=25000 pos=0.63 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-976.3]"
2026-03-30,Monday,NIFTY-FUT-NSE,False,2026-03-30 09:15:00,2026-03-30 15:29:00,22613.0,22330.1,NO_TRADE,-282.9,,,,0.1373,5,1,-1,0,1,1,-1,0.938,22819.6,24000,22000,1,-1.28,False,True,-1,-1,"short_cover p=+0 oi=-455 | backwardation fut=22613 spot=22820 basis=-0.93% | neutral_pcr pcr=0.94 ma=0.99 | put_writing_dominant atm_net_vel=18.0 ce=101.2 pe=119.1 | lower_range_bullish ltp=22613 call=24000 put=22000 pos=0.31 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=46.0]"
2026-04-01,Wednesday,NIFTY-FUT-NSE,False,2026-04-01 09:15:00,2026-04-01 15:29:00,22851.9,22830.0,LONG,-21.9,-21.9,-547.5,LOSS,0.3784,4,1,1,1,0,-1,0,0.825,22331.4,23000,22300,6,-0.81,False,False,-1,0,short_cover p=+30 oi=-95 | contango fut=22852 spot=22331 basis=+2.20% | bullish_pcr pcr=0.82 ma=0.97 | no velocity data | upper_range_bearish ltp=22852 call=23000 put=22300 pos=0.79 | FII_mixed [fut_level=SHORT]
2026-04-02,Thursday,NIFTY-FUT-NSE,False,2026-04-02 09:15:00,2026-04-02 15:29:00,22457.8,22773.0,SHORT,315.2,-315.2,-7880.0,LOSS,-0.3516,4,1,-1,0,0,-1,-1,0.93,22679.4,23000,21000,5,-1.02,False,False,-1,-1,"long_buildup p=+33 oi=+149 | backwardation fut=22458 spot=22679 basis=-1.09% | neutral_pcr pcr=0.93 ma=0.98 | no velocity data | upper_range_bearish ltp=22458 call=23000 put=21000 pos=0.73 | FII_SHORT [fut_level=SHORT, cash=SELL]"
2026-04-06,Monday,NIFTY-FUT-NSE,False,2026-04-06 09:15:00,2026-04-06 15:29:00,22775.6,23050.2,NO_TRADE,274.6,,,,0.1977,4,1,1,0,0,1,-1,1.093,22713.1,24000,22000,1,-2.55,False,False,-1,-1,"long_buildup p=+5 oi=+273 | contango fut=22776 spot=22713 basis=+0.25% | neutral_pcr pcr=1.09 ma=1.00 | no velocity data | lower_range_bullish ltp=22776 call=24000 put=22000 pos=0.39 | FII_SHORT [fut_level=SHORT, cash=SELL]"
2026-04-07,Tuesday,NIFTY-FUT-NSE,True,2026-04-07 09:15:00,2026-04-07 15:29:00,22879.3,23165.0,SHORT,285.7,-285.7,-7142.5,LOSS,-0.449,4,1,-1,-1,0,0,-1,1.222,22968.25,24000,22000,1,0.65,False,False,-1,-1,"long_buildup p=+3 oi=+986 | backwardation fut=22879 spot=22968 basis=-0.41% | bearish_pcr pcr=1.22 ma=1.00 | no velocity data | mid_range ltp=22879 call=24000 put=22000 pos=0.44 | FII_SHORT [fut_level=SHORT, cash=SELL]"
2026-04-08,Wednesday,NIFTY-FUT-NSE,False,2026-04-08 09:15:00,2026-04-08 15:29:00,23859.9,24087.1,NO_TRADE,227.2,,,,0.0563,5,1,1,-1,0,-1,-1,1.265,23123.65,24000,23100,6,3.55,False,True,-1,-1,"short_cover p=+25 oi=-1210 | contango fut=23860 spot=23124 basis=+3.05% | bearish_pcr pcr=1.26 ma=1.07 | balanced atm_net_vel=3.1 ce=7.4 pe=10.6 | upper_range_bearish ltp=23860 call=24000 put=23100 pos=0.84 | FII_SHORT [fut_level=SHORT, cash=SELL]"
2026-04-09,Thursday,NIFTY-FUT-NSE,False,2026-04-09 09:15:00,2026-04-09 15:29:00,23959.9,23864.5,NO_TRADE,-95.4,,,,-0.3627,4,1,-1,-1,0,0,-1,1.127,23997.35,25000,23000,5,5.81,True,True,-1,-1,"long_buildup p=+3 oi=+216 | backwardation fut=23960 spot=23997 basis=-0.27% | bearish_pcr pcr=1.13 ma=1.13 | balanced atm_net_vel=3.9 ce=10.0 pe=13.8 | mid_range ltp=23960 call=25000 put=23000 pos=0.48 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=4.3]"
2026-04-10,Friday,NIFTY-FUT-NSE,False,2026-04-10 09:15:00,2026-04-10 15:29:00,23915.0,24110.0,NO_TRADE,195.0,,,,0.2899,3,1,1,0,0,0,-1,0.973,23775.1,25000,23000,4,4.68,False,True,-1,-1,"long_buildup p=+2 oi=+978 | contango fut=23915 spot=23775 basis=+0.50% | neutral_pcr pcr=0.97 ma=1.14 | balanced atm_net_vel=-1.3 ce=30.5 pe=29.2 | mid_range ltp=23915 call=25000 put=23000 pos=0.46 | FII_SHORT [fut_level=SHORT, cash=SELL]"
